Variable,CTQ1,CTQ2,CTQ3,CTQ4,CTQ5,CTQ6,CTQ7,CTQ8,CTQ9,CTQ10,CTQ11,CTQ12,CTQ13,CTQ14,CTQ15,CTQ16,CTQ17,CTQ18,CTQ19,CTQ20,CTQ21,CTQ22,CTQ23,CTQ24,CTQ25,MPFI1,MPFI2,MPFI3,MPFI4,MPFI5,MPFI6,MPFI7,MPFI8,MPFI9,MPFI10,MPFI11,MPFI12,MPFI13,MPFI14,MPFI15,MPFI16,MPFI17,MPFI18,MPFI19,MPFI20,MPFI21,MPFI22,MPFI23,MPFI24,MPFI25,MPFI26,MPFI27,MPFI28,MPFI29,MPFI30,SCS1,SCS2,SCS3,SCS4,SCS5,SCS6,SCS7,SCS8,SCS9,SCS10,SCS11,SCS12,PWB1,PWB2,PWB3,PWB4,PWB5,PWB6,PWB7,PWB8,PWB9,PWB10,PWB11,PWB12,PWB13,PWB14,PWB15,PWB16,PWB17,PWB18,LEC1,LEC2,LEC3,LEC4,LEC5,LEC6,LEC7,LEC8,LEC9,LEC10,Studii,Orientare_rel,Genul,Varsta,Mediu_prov,self.acceptance,autonomy,purpose,relationship,mastery,growth,PWB,emotional.abuse,physical.abuse,sexual.abuse,emotional.neglect,physical.neglect,self.compassion,flexibility,Zemotional.abuse,Zphysical.abuse,Zsexual.abuse,Zemotional.neglect,Zphysical.neglect,Zself.compassion,Zflexibility,FelxibilityxEA,FelxibilityxPA,FelxibilityxSA,FelxibilityxEN,FelxibilityxPN,CompassionxEA,CompassionxPA,CompassionxSA,CompassionxEN,CompassionxPN,CTQ,ZCTQ,CTQxcomps,CTQxflexibility,Abuse,neglect,ZAbuse,Zneglect,abusexflexib,neglectxflexib,neglectxcompas,abusexcompas
Question,trauma din copilarie,,,,,,,,,,,,,,,,,,,,,,,,,flexibilitatea psihologica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,auto-compasiunea,,,,,,,,,,,,starea de bine psihologica,,,,,,,,,,,,,,,,,,evenimente din viata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zscore(emotional.abuse),Zscore(physical.abuse),Zscore(sexual.abuse),Zscore(emotional.neglect),Zscore(physical.neglect),Zscore(self.compassion),Zscore(flexibility),,,,,,,,,,,,Zscore(CTQ),,,,,Zscore(Abuse),Zscore(neglect),,,,
Subquestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scale,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Scale,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Scale,Nominal,Nominal,Nominal,Nominal,Nominal,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale,Scale
Missings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values/Labels,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | niciodata adevarat,1 | aproape niciodata,1 | aproape niciodata,1 | aproape niciodata,1 | aproape niciodata,1 | aproape niciodata,1 | aproape niciodata,1 | aproape niciodata,1 | aproape niciodata,1 | aproape niciodata,1 | aproape niciodata,1 | aproape niciodata,1 | aproape niciodata,1 | cu mult mai putin acum,1 | cu mult mai putin acum,1 | cu mult mai putin acum,1 | cu mult mai putin acum,1 | cu mult mai putin acum,1 | cu mult mai putin acum,1 | cu mult mai putin acum,1 | cu mult mai putin acum,1 | cu mult mai putin acum,1 | cu mult mai putin acum,1 | cu mult mai putin acum,1 | cu mult mai putin acum,1 | cu mult mai putin acum,1 | cu mult mai putin acum,1 | cu mult mai putin acum,1 | cu mult mai putin acum,1 | cu mult mai putin acum,1 | cu mult mai putin acum,0 | nu,0 | nu,0 | nu,0 | nu,0 | nu,0 | nu,0 | nu,0 | nu,0 | nu,0 | nu,1 | gimnaziale,1 | ortodoxa,1 | masculin,,1 | rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori adevarat,2 | rareori,2 | rareori,2 | rareori,2 | rareori,2 | rareori,2 | rareori,2 | rareori,2 | rareori,2 | rareori,2 | rareori,2 | rareori,2 | rareori,2 | un pic mai putin acum,2 | un pic mai putin acum,2 | un pic mai putin acum,2 | un pic mai putin acum,2 | un pic mai putin acum,2 | un pic mai putin acum,2 | un pic mai putin acum,2 | un pic mai putin acum,2 | un pic mai putin acum,2 | un pic mai putin acum,2 | un pic mai putin acum,2 | un pic mai putin acum,2 | un pic mai putin acum,2 | un pic mai putin acum,2 | un pic mai putin acum,2 | un pic mai putin acum,2 | un pic mai putin acum,2 | un pic mai putin acum,1 | da,1 | da,1 | da,1 | da,1 | da,1 | da,1 | da,1 | da,1 | da,1 | da,2 | medii,2 | catolica,2 | feminin,,2 | urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori adevarat,3 | uneori,3 | uneori,3 | uneori,3 | uneori,3 | uneori,3 | uneori,3 | uneori,3 | uneori,3 | uneori,3 | uneori,3 | uneori,3 | uneori,3 | simt la fel ca inainte,3 | simt la fel ca inainte,3 | simt la fel ca inainte,3 | simt la fel ca inainte,3 | simt la fel ca inainte,3 | simt la fel ca inainte,3 | simt la fel ca inainte,3 | simt la fel ca inainte,3 | simt la fel ca inainte,3 | simt la fel ca inainte,3 | simt la fel ca inainte,3 | simt la fel ca inainte,3 | simt la fel ca inainte,3 | simt la fel ca inainte,3 | simt la fel ca inainte,3 | simt la fel ca inainte,3 | simt la fel ca inainte,3 | simt la fel ca inainte,,,,,,,,,,,3 | liceale,3 | nereligiosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori adevarat,4 | deseori,4 | deseori,4 | deseori,4 | deseori,4 | deseori,4 | deseori,4 | deseori,4 | deseori,4 | deseori,4 | deseori,4 | deseori,4 | deseori,4 | un pic mai mult acum,4 | un pic mai mult acum,4 | un pic mai mult acum,4 | un pic mai mult acum,4 | un pic mai mult acum,4 | un pic mai mult acum,4 | un pic mai mult acum,4 | un pic mai mult acum,4 | un pic mai mult acum,4 | un pic mai mult acum,4 | un pic mai mult acum,4 | un pic mai mult acum,4 | un pic mai mult acum,4 | un pic mai mult acum,4 | un pic mai mult acum,4 | un pic mai mult acum,4 | un pic mai mult acum,4 | un pic mai mult acum,,,,,,,,,,,4 | universitare,4 | altele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | de foarte multe ori adevarat,5 | aproape intotdeauna,5 | aproape intotdeauna,5 | aproape intotdeauna,5 | aproape intotdeauna,5 | aproape intotdeauna,5 | aproape intotdeauna,5 | aproape intotdeauna,5 | aproape intotdeauna,5 | aproape intotdeauna,5 | aproape intotdeauna,5 | aproape intotdeauna,5 | aproape intotdeauna,5 | cu mult mai mult acum,5 | cu mult mai mult acum,5 | cu mult mai mult acum,5 | cu mult mai mult acum,5 | cu mult mai mult acum,5 | cu mult mai mult acum,5 | cu mult mai mult acum,5 | cu mult mai mult acum,5 | cu mult mai mult acum,5 | cu mult mai mult acum,5 | cu mult mai mult acum,5 | cu mult mai mult acum,5 | cu mult mai mult acum,5 | cu mult mai mult acum,5 | cu mult mai mult acum,5 | cu mult mai mult acum,5 | cu mult mai mult acum,5 | cu mult mai mult acum,,,,,,,,,,,5 | postuniversitare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,6 | intotdeauna adevarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
