Variable,CTQ1,CTQ2,CTQ3,CTQ4,CTQ5,CTQ6,CTQ7,CTQ8,CTQ9,CTQ10,CTQ11,CTQ12,CTQ13,CTQ14,CTQ15,CTQ16,CTQ17,CTQ18,CTQ19,CTQ20,CTQ21,CTQ22,CTQ23,CTQ24,CTQ25,MPFI1,MPFI2,MPFI3,MPFI4,MPFI5,MPFI6,MPFI7,MPFI8,MPFI9,MPFI10,MPFI11,MPFI12,MPFI13,MPFI14,MPFI15,MPFI16,MPFI17,MPFI18,MPFI19,MPFI20,MPFI21,MPFI22,MPFI23,MPFI24,MPFI25,MPFI26,MPFI27,MPFI28,MPFI29,MPFI30,SCS1,SCS2,SCS3,SCS4,SCS5,SCS6,SCS7,SCS8,SCS9,SCS10,SCS11,SCS12,PWB1,PWB2,PWB3,PWB4,PWB5,PWB6,PWB7,PWB8,PWB9,PWB10,PWB11,PWB12,PWB13,PWB14,PWB15,PWB16,PWB17,PWB18,LEC1,LEC2,LEC3,LEC4,LEC5,LEC6,LEC7,LEC8,LEC9,LEC10,Studii,Orientare_rel,Genul,Varsta,Mediu_prov,self.acceptance,autonomy,purpose,relationship,mastery,growth,PWB,emotional.abuse,physical.abuse,sexual.abuse,emotional.neglect,physical.neglect,self.compassion,flexibility,Zemotional.abuse,Zphysical.abuse,Zsexual.abuse,Zemotional.neglect,Zphysical.neglect,Zself.compassion,Zflexibility,FelxibilityxEA,FelxibilityxPA,FelxibilityxSA,FelxibilityxEN,FelxibilityxPN,CompassionxEA,CompassionxPA,CompassionxSA,CompassionxEN,CompassionxPN,CTQ,ZCTQ,CTQxcomps,CTQxflexibility,Abuse,neglect,ZAbuse,Zneglect,abusexflexib,neglectxflexib,neglectxcompas,abusexcompas
Label,trauma din copilarie,,,,,,,,,,,,,,,,,,,,,,,,,flexibilitatea psihologica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,auto-compasiunea,,,,,,,,,,,,starea de bine psihologica,,,,,,,,,,,,,,,,,,evenimente din viata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zscore(emotional.abuse),Zscore(physical.abuse),Zscore(sexual.abuse),Zscore(emotional.neglect),Zscore(physical.neglect),Zscore(self.compassion),Zscore(flexibility),,,,,,,,,,,,Zscore(CTQ),,,,,Zscore(Abuse),Zscore(neglect),,,,
,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,5.00,4.00,4.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,4.00,1.00,2.00,24.00,1.00,9.00,9.00,10.00,11.00,10.00,10.00,59.00,15.00,15.00,15.00,15.00,15.00,36.00,90.00,0.49826,1.35367,1.93784,0.72064,1.62356,-0.22355,-1.49178,-0.74,-2.02,-2.89,-1.08,-2.42,-0.11,-0.30,-0.43,-0.16,-0.36,75.00,1.42285,-0.32,-2.12,45.00,27.00,1.39133,1.10185,-2.08,-1.64,-0.25,-0.31
,1.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,2.00,3.00,2.00,2.00,2.00,3.00,1.00,1.00,3.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,2.00,3.00,2.00,3.00,3.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,3.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,2.00,2.00,1.00,3.00,2.00,1.00,2.00,1.00,2.00,4.00,3.00,1.00,3.00,2.00,1.00,4.00,2.00,2.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,2.00,21.00,1.00,7.00,5.00,4.00,11.00,7.00,4.00,38.00,13.00,5.00,5.00,12.00,9.00,18.00,51.00,0.18826,-0.65262,-0.53057,0.18427,0.16487,-2.34519,-3.31621,-0.62,2.16,1.76,-0.61,-0.55,-0.44,1.53,1.24,-0.43,-0.39,44.00,-0.12367,0.29,0.41,23.00,20.00,-0.32711,0.25602,1.08,-0.85,-0.60,0.77
,4.00,3.00,2.00,4.00,4.00,3.00,4.00,3.00,4.00,3.00,3.00,3.00,3.00,4.00,4.00,3.00,3.00,2.00,3.00,2.00,3.00,2.00,3.00,3.00,3.00,6.00,6.00,6.00,6.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,6.00,2.00,4.00,4.00,1.00,4.00,4.00,4.00,2.00,2.00,4.00,1.00,2.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,5.00,4.00,3.00,4.00,4.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,2.00,24.00,1.00,11.00,12.00,10.00,10.00,11.00,11.00,65.00,17.00,17.00,17.00,13.00,14.00,34.00,155.00,0.80826,1.75493,2.43152,0.36306,1.38044,-0.45928,1.54895,1.25,2.72,3.77,0.56,2.14,-0.37,-0.81,-1.12,-0.17,-0.63,78.00,1.57251,-0.72,2.44,51.00,24.00,1.86000,0.73935,2.88,1.15,-0.34,-0.85
,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,3.00,3.00,1.00,1.00,3.00,5.00,4.00,5.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,6.00,4.00,4.00,4.00,4.00,4.00,5.00,6.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,3.00,3.00,2.00,3.00,4.00,4.00,5.00,5.00,2.00,4.00,4.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,5.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,1.00,1.00,45.00,2.00,13.00,11.00,15.00,14.00,11.00,14.00,78.00,6.00,7.00,5.00,8.00,11.00,40.00,144.00,-0.89675,-0.25136,-0.53057,-0.53089,0.65110,0.24793,1.03437,-0.93,-0.26,-0.55,-0.55,0.67,-0.22,-0.06,-0.13,-0.13,0.16,37.00,-0.47288,-0.12,-0.49,18.00,18.00,-0.71766,0.01435,-0.74,0.01,0.00,-0.18
,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,6.00,6.00,6.00,3.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,6.00,6.00,6.00,4.00,5.00,5.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,4.00,3.00,4.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,2.00,23.00,2.00,15.00,14.00,14.00,14.00,14.00,14.00,85.00,5.00,5.00,5.00,9.00,5.00,44.00,143.00,-1.05175,-0.65262,-0.53057,-0.35210,-0.80759,0.71941,0.98759,-1.04,-0.64,-0.52,-0.35,-0.80,-0.76,-0.47,-0.38,-0.25,-0.58,29.00,-0.87198,-0.63,-0.86,15.00,13.00,-0.95200,-0.58982,-0.94,-0.58,-0.42,-0.68
,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,4.00,3.00,3.00,2.00,4.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,5.00,5.00,4.00,4.00,5.00,4.00,4.00,4.00,5.00,5.00,4.00,4.00,4.00,5.00,4.00,5.00,4.00,5.00,4.00,5.00,4.00,3.00,4.00,4.00,2.00,4.00,3.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,2.00,37.00,1.00,15.00,15.00,15.00,15.00,15.00,15.00,90.00,5.00,8.00,5.00,15.00,12.00,45.00,119.00,-1.05175,-0.05073,-0.53057,0.72064,0.89422,0.83728,-0.13514,0.14,0.01,0.07,-0.10,-0.12,-0.88,-0.04,-0.44,0.60,0.75,45.00,-0.07378,-0.06,0.01,18.00,25.00,-0.71766,0.86019,0.10,-0.12,0.72,-0.60
,2.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,3.00,2.00,1.00,2.00,1.00,1.00,1.00,4.00,4.00,4.00,3.00,3.00,3.00,4.00,4.00,4.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,5.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,4.00,2.00,4.00,3.00,3.00,2.00,1.00,2.00,2.00,3.00,4.00,3.00,4.00,3.00,4.00,4.00,3.00,2.00,3.00,4.00,2.00,4.00,3.00,2.00,2.00,4.00,3.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,4.00,1.00,2.00,22.00,2.00,10.00,7.00,9.00,11.00,9.00,11.00,57.00,9.00,5.00,5.00,10.00,6.00,31.00,90.00,-0.43174,-0.65262,-0.53057,-0.17331,-0.56447,-0.81289,-1.49178,0.64,0.97,0.79,0.26,0.84,0.35,0.53,0.43,0.14,0.46,35.00,-0.57266,0.47,0.85,19.00,15.00,-0.63955,-0.34815,0.95,0.52,0.28,0.52
,4.00,2.00,4.00,3.00,4.00,1.00,4.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,4.00,4.00,3.00,1.00,4.00,1.00,2.00,2.00,5.00,5.00,3.00,4.00,3.00,4.00,4.00,4.00,3.00,3.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,3.00,2.00,4.00,4.00,3.00,2.00,4.00,2.00,3.00,3.00,4.00,4.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,5.00,3.00,1.00,26.00,1.00,11.00,11.00,10.00,12.00,12.00,12.00,68.00,17.00,12.00,5.00,15.00,10.00,38.00,132.00,0.80826,0.75178,-0.53057,0.72064,0.40799,0.01219,0.47300,0.38,0.36,-0.25,0.34,0.19,0.01,0.01,-0.01,0.01,0.00,59.00,0.62465,0.01,0.30,34.00,23.00,0.53211,0.61852,0.25,0.29,0.01,0.01
,2.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,5.00,2.00,2.00,3.00,3.00,2.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,3.00,3.00,4.00,3.00,6.00,6.00,5.00,5.00,5.00,4.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,3.00,5.00,3.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,2.00,24.00,2.00,10.00,10.00,9.00,12.00,10.00,10.00,61.00,7.00,6.00,5.00,10.00,11.00,35.00,103.00,-0.74175,-0.45199,-0.53057,-0.17331,0.65110,-0.34141,-0.88363,0.66,0.40,0.47,0.15,-0.58,0.25,0.15,0.18,0.06,-0.22,39.00,-0.37311,0.13,0.33,18.00,20.00,-0.71766,0.25602,0.63,-0.23,-0.09,0.25
